Line,Item,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969,1969,1970,1970,1970,1970,1971,1971,1971,1971,1972,1972,1972,1972,1973,1973,1973,1973,1974,1974,1974,1974,1975,1975,1975,1975,1976,1976,1976,1976,1977,1977,1977,1977,1978,1978,1978,1978,1979,1979,1979,1979,1980,1980,1980,1980,1981,1981,1981,1981,1982,1982,1982,1982,1983,1983,1983,1983,1984,1984,1984,1984,1985,1985,1985,1985,1986,1986,1986,1986,1987,1987,1987,1987,1988,1988,1988,1988,1989,1989,1989,1989,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022
1,    Gross domestic product,1699,1711,1728,1790,1824,1863,1900,1899,1855,1823,1826,1802,1862,1919,2028,2096,2192,2236,2273,2293,2307,2306,2338,2410,2447,2461,2447,2403,2389,2384,2403,2445,2516,2557,2598,2626,2632,2658,2677,2718,2761,2762,2794,2754,2702,2717,2784,2850,2899,2957,2958,2965,3026,2999,3009,2968,2984,3030,3083,3140,3201,3224,3258,3262,3302,3334,3398,3435,3508,3543,3600,3614,3710,3764,3850,3953,4065,4101,4163,4220,4264,4278,4348,4417,4547,4661,4731,4803,4919,4985,5074,5099,5151,5214,5287,5281,5490,5576,5662,5705,5884,6041,6140,6306,6522,6680,6757,6940,6996,7163,7285,7451,7512,7660,7905,8125,8377,8506,8641,8836,9063,9347,9604,9784,9935,10490,10743,11078,11272,11530,11834,12046,12303,12302,12525,13055,13634,13770,14158,14209,14150,14368,14479,14599,14872,15292,15725,16137,16587,16984,17258,17487,17798,18032,18371,18564,18794,18910,19122,19283,19512,19818,20091,20548,20775,21208,21531,21952,22362,22721,22993,23139,23591,23868,24003,23877,23925,24211,24436,24583,24896,25233,25513,25867,25979,26206,26397,26816,27133,27553,27783,28167,28344,28485,28776,29022,29307,29834,30102,30480,30778,31263,31687,31964,32248,32534,32980,33504,33842,34161,34626,35283,35556,36339,36490,36808,36845,37211,37110,37234,37582,37860,38099,38274,38584,38976,39752,40362,40801,41358,41911,42561,43285,43718,44350,44850,45675,46089,46361,46807,47289,47802,48216,48592,48457,48875,48865,47799,47123,46865,46977,47525,47797,48403,48821,49256,49302,49873,50056,50573,51205,51554,51803,52015,52591,52724,53281,53866,53804,54703,55462,55683,56018,56547,56779,56736,56923,57396,57784,58263,58727,59116,59797,60712,61433,62309,62872,63180,63701,64414,65104,65537,64965,59202,64375,65380,67221,69414,70872,73212,74352,75835,77193
2,    Gross national product,1706,1718,1736,1798,1833,1873,1910,1909,1865,1832,1834,1810,1871,1928,2038,2106,2202,2248,2286,2307,2320,2319,2351,2423,2459,2474,2458,2414,2401,2396,2415,2459,2530,2571,2613,2642,2649,2675,2694,2733,2779,2782,2812,2769,2717,2732,2799,2865,2914,2972,2974,2982,3042,3016,3027,2986,3004,3049,3102,3160,3221,3246,3280,3288,3325,3357,3422,3460,3534,3568,3626,3639,3738,3793,3877,3977,4090,4127,4188,4246,4291,4304,4376,4445,4576,4691,4762,4834,4950,5015,5103,5129,5182,5246,5319,5311,5526,5615,5697,5742,5923,6079,6183,6349,6573,6735,6823,7008,7076,7240,7356,7513,7565,7714,7965,8198,8450,8582,8719,8917,9158,9441,9699,9869,10035,10574,10837,11188,11386,11661,11994,12208,12471,12460,12675,13180,13771,13900,14300,14372,14306,14544,14630,14745,15018,15449,15887,16306,16745,17143,17416,17627,17906,18149,18465,18671,18886,18974,19197,19333,19572,19892,20164,20629,20877,21302,21614,22044,22453,22809,23091,23263,23710,23994,24112,24078,24081,24324,24535,24713,25024,25358,25626,25984,26122,26324,26536,26895,27237,27640,27864,28244,28457,28607,28846,29136,29446,29942,30198,30596,30863,31376,31771,32023,32340,32616,33015,33548,33936,34272,34728,35419,35674,36466,36598,37001,36986,37381,37198,37541,37755,37967,38250,38479,38734,39170,39939,40634,41136,41607,42189,42746,43580,43970,44630,45034,45863,46255,46483,46954,47432,48006,48605,49123,48954,49393,49444,48113,47517,47265,47570,48093,48458,49071,49459,49942,50018,50587,50842,51404,51990,52280,52531,52735,53274,53448,54038,54607,54549,55419,56250,56378,56712,57207,57441,57458,57588,58063,58462,59111,59562,59925,60740,61709,62385,63230,63695,64016,64569,65292,65954,66307,65737,59712,64978,65870,67815,69853,71377,73758,74919,76459,77678
3,    Personal income,1325,1319,1369,1383,1417,1449,1480,1478,1430,1417,1408,1404,1501,1505,1553,1604,1658,1710,1730,1752,1758,1777,1814,1848,1869,1886,1877,1868,1860,1851,1854,1878,1909,1947,1983,2004,2029,2055,2077,2112,2129,2148,2165,2150,2145,2151,2193,2215,2238,2277,2280,2302,2324,2338,2341,2339,2355,2380,2409,2446,2475,2507,2522,2546,2566,2584,2611,2651,2693,2733,2773,2809,2858,2900,2964,3022,3080,3122,3180,3239,3286,3314,3375,3423,3513,3604,3688,3759,3824,3906,3998,4061,4124,4201,4258,4287,4371,4471,4525,4598,4717,4790,4901,5111,5185,5314,5432,5598,5662,5772,5926,6048,6128,6260,6410,6561,6701,6802,6954,7102,7241,7424,7606,7854,8020,8270,8490,8704,8947,9101,9364,9593,9843,9980,10297,10690,10948,11145,11546,11661,11789,11954,12097,12244,12385,12571,12793,13134,13493,13821,14102,14297,14538,14676,14838,15062,15291,15430,15592,15728,15933,16153,16406,16758,17037,17305,17633,17937,18410,18593,18767,19018,19358,19620,19787,19797,19791,19972,20109,20351,20728,21036,21199,21430,21467,21691,21777,22014,22147,22480,22657,23007,23291,23486,23705,23913,24288,24698,24899,25158,25540,25771,26099,26520,27040,27425,27726,27984,28260,28411,28734,29248,30015,30447,30933,31206,31704,31711,31548,31434,31511,31788,31870,32084,32159,32474,32852,33242,33508,34000,34412,35073,35073,35579,36060,36595,37554,37989,38223,38626,39334,39792,39956,40298,40644,41654,41025,40563,39372,39390,39123,39392,39887,40534,40890,41279,42315,42574,42909,43054,43931,44361,44195,45623,44338,44684,44878,45141,45898,46596,47198,47744,48254,48610,48870,49043,49179,49349,49709,50115,50765,51264,51725,52322,52897,53423,54099,54712,55614,56034,56407,56890,57411,61742,60328,59633,66563,62997,63212,63629,64072,64811,65602
4,    Disposable personal income,1191,1184,1233,1240,1272,1319,1356,1353,1310,1303,1299,1299,1391,1388,1429,1457,1499,1538,1551,1561,1561,1574,1609,1639,1658,1676,1670,1663,1673,1666,1670,1692,1718,1751,1782,1799,1817,1839,1858,1888,1903,1920,1937,1925,1925,1934,1970,1990,2006,2039,2040,2057,2071,2083,2084,2084,2101,2124,2151,2186,2209,2233,2242,2260,2279,2296,2323,2361,2411,2474,2505,2533,2564,2599,2671,2724,2765,2788,2835,2882,2926,2956,3004,3043,3120,3196,3231,3283,3316,3384,3485,3542,3612,3686,3768,3795,3895,3985,4033,4092,4144,4202,4310,4507,4587,4704,4800,4940,4992,5075,5203,5314,5394,5698,5704,5830,5953,6024,6148,6268,6380,6535,6706,6912,7063,7266,7430,7598,7815,7936,8145,8331,8587,8696,8972,9296,9504,9653,9997,10134,10265,10403,10591,10714,10882,11035,11320,11622,11960,12252,12479,12628,12720,13045,13072,13270,13513,13643,13768,13839,14071,14044,14394,14678,14981,15271,15568,15834,16166,16299,16459,16684,17018,17238,17390,17408,17489,17656,17785,18001,18424,18668,18805,18957,19085,19214,19249,19432,19578,19827,20021,20342,20561,20680,20888,21038,21302,21579,21776,21971,22220,22409,22657,22991,23417,23716,23954,24134,24384,24484,24728,25136,25718,26084,26521,26766,27122,27116,27649,27132,27764,28133,28249,28491,28633,28957,29584,29741,30045,30494,30787,31365,31099,31532,31925,32368,33119,33461,33682,33967,34455,34827,34994,35316,35586,36550,36114,35836,35445,35704,35432,35692,36029,36613,36840,37131,37734,37939,38203,38358,39252,39629,39401,40643,39120,39372,39601,39802,40422,41087,41576,42015,42324,42571,42830,42962,43233,43356,43640,43993,44618,45103,45444,45841,46579,47159,47759,48391,49066,49307,49768,50199,50627,55417,53585,52522,59005,55050,55107,55192,54619,55235,55912
5,    Personal consumption expenditures,1091,1113,1132,1155,1169,1190,1205,1205,1193,1199,1189,1200,1213,1235,1319,1297,1365,1332,1343,1362,1365,1386,1396,1441,1458,1464,1461,1451,1458,1469,1477,1499,1531,1556,1574,1590,1593,1602,1614,1638,1656,1663,1682,1684,1675,1685,1707,1722,1758,1785,1807,1811,1820,1842,1832,1835,1832,1852,1859,1891,1912,1936,1949,1975,1988,2003,2032,2049,2093,2127,2166,2172,2221,2251,2290,2354,2402,2421,2460,2482,2497,2537,2566,2597,2682,2744,2817,2853,2907,2956,2998,3048,3095,3134,3181,3203,3285,3343,3392,3459,3533,3613,3691,3799,3906,3971,4048,4108,4184,4309,4433,4467,4579,4700,4842,4963,5107,5187,5307,5447,5597,5710,5834,5989,6107,6350,6469,6626,6768,6931,7151,7319,7507,7497,7733,8010,8229,8349,8502,8551,8704,8795,8971,9205,9354,9612,9889,10089,10264,10487,10621,10799,11091,11260,11534,11610,11772,11863,12106,12225,12328,12590,12822,12928,13234,13451,13702,13963,14161,14387,14572,14710,15016,15151,15350,15380,15356,15518,15645,15697,16043,16205,16423,16677,16791,17006,17211,17407,17621,17805,18012,18236,18322,18538,18722,18877,19109,19389,19526,19753,19996,20079,20407,20652,20809,21155,21430,21731,21942,22343,22646,23048,23527,23801,24119,24403,24617,24724,24758,25103,25155,25412,25658,25857,26129,26396,26878,27132,27542,27818,28213,28704,28993,29437,29925,30144,30564,30923,31265,31430,31842,32125,32438,32814,32964,33304,33319,32416,32050,31954,32316,32454,32702,32984,33212,33558,33908,34215,34404,34506,34923,35006,35106,35370,35629,35648,35852,36213,36461,36916,37304,37596,37625,37995,38296,38369,38602,38972,39268,39568,40022,40220,40534,41169,41688,42161,42514,42798,42883,43373,43789,44139,43556,39343,43360,43937,45584,47628,48593,49666,50713,51845,52643
6,        Goods,668,683,695,713,721,733,740,736,723,727,720,728,735,744,816,786,832,794,798,810,805,815,814,849,856,852,841,832,832,833,832,847,870,891,902,904,899,901,902,916,929,928,939,931,920,920,931,940,964,977,983,974,976,989,979,973,962,969,973,989,1000,1009,1014,1028,1036,1041,1054,1056,1082,1101,1125,1115,1151,1163,1186,1227,1259,1258,1280,1281,1280,1303,1309,1320,1372,1401,1445,1453,1480,1495,1511,1526,1539,1551,1566,1561,1615,1639,1653,1682,1711,1757,1797,1858,1928,1950,1983,2002,2043,2100,2167,2133,2175,2233,2324,2366,2442,2475,2521,2581,2645,2696,2738,2822,2838,2974,3016,3094,3158,3213,3342,3398,3493,3421,3516,3618,3753,3761,3826,3779,3830,3829,3879,3952,3965,4113,4223,4320,4405,4505,4507,4580,4672,4728,4845,4834,4881,4887,5050,5052,5024,5160,5270,5238,5359,5422,5466,5580,5636,5753,5821,5811,5984,5924,5972,5963,5890,5916,5941,5879,6001,6037,6112,6187,6204,6289,6326,6420,6504,6565,6666,6781,6738,6778,6840,6885,6969,7116,7130,7225,7312,7246,7389,7457,7435,7578,7665,7860,7928,8151,8262,8407,8578,8642,8732,8794,8795,8812,8807,9003,8928,8996,9082,9093,9176,9226,9507,9562,9729,9796,9916,10140,10178,10343,10589,10551,10737,10811,10941,10876,11005,11125,11190,11321,11224,11321,11243,10389,10188,10214,10497,10500,10573,10634,10689,10935,11141,11266,11285,11368,11563,11503,11528,11638,11802,11680,11753,11817,11893,12101,12184,12169,12043,12206,12283,12182,12155,12288,12336,12409,12561,12593,12722,13024,13119,13229,13290,13345,13286,13509,13632,13712,13670,13097,14757,14781,15862,16655,16603,17059,17560,17882,17971
7,            Durable goods,145,148,151,162,162,164,172,169,165,177,183,189,195,197,246,218,232,200,195,196,197,198,187,213,222,220,216,210,204,208,204,214,234,247,256,249,237,237,235,245,250,247,244,241,228,222,226,232,248,257,261,247,253,257,253,246,231,236,242,252,257,263,265,275,279,285,288,293,304,310,319,308,336,334,343,354,369,355,367,368,359,375,375,379,404,414,436,436,446,447,446,446,439,445,448,424,474,487,497,514,529,544,559,586,624,620,616,603,594,611,637,592,613,634,679,707,751,762,778,801,838,860,879,907,894,973,972,994,996,988,1024,1013,1023,932,988,1033,1074,1049,1094,1026,1065,1075,1084,1134,1151,1237,1289,1358,1407,1446,1445,1492,1548,1567,1660,1603,1633,1694,1850,1826,1729,1811,1894,1846,1926,1934,1917,1977,1974,1997,2041,1980,2070,1996,1970,1912,1870,1878,1907,1874,1941,1954,1990,2025,2038,2108,2135,2194,2245,2276,2309,2387,2341,2356,2407,2435,2458,2512,2515,2545,2597,2556,2644,2688,2683,2790,2839,2975,2948,3065,3114,3123,3274,3198,3224,3230,3261,3228,3235,3478,3402,3399,3475,3412,3365,3472,3580,3590,3642,3640,3696,3761,3763,3850,3887,3752,3876,3851,3879,3899,3922,3935,3946,3948,3801,3741,3594,3298,3280,3241,3365,3290,3306,3373,3393,3470,3494,3472,3489,3551,3627,3606,3624,3686,3760,3743,3746,3755,3777,3883,3925,3960,3997,4070,4089,4081,4105,4120,4169,4182,4201,4217,4277,4415,4428,4470,4495,4499,4458,4536,4619,4667,4510,4482,5414,5448,5998,6366,6124,6319,6563,6553,6589
8,            Nondurable goods,523,535,544,551,560,569,568,567,558,550,537,539,540,547,570,568,600,594,603,614,608,617,626,635,634,632,624,622,628,626,628,633,636,644,646,655,661,663,667,671,678,682,695,690,693,698,705,708,716,719,722,726,723,731,726,727,730,732,731,736,743,745,749,754,757,756,766,763,778,791,806,808,815,829,843,873,889,903,913,913,921,927,933,941,968,987,1009,1017,1034,1048,1064,1079,1100,1107,1118,1138,1141,1152,1156,1168,1181,1213,1237,1272,1304,1329,1366,1399,1449,1489,1530,1541,1563,1599,1646,1659,1691,1713,1743,1780,1807,1835,1858,1915,1944,2001,2044,2099,2162,2225,2317,2385,2469,2489,2528,2585,2680,2712,2732,2753,2765,2754,2795,2818,2813,2876,2934,2962,2998,3060,3062,3089,3124,3161,3185,3231,3249,3193,3200,3225,3295,3349,3376,3392,3433,3488,3549,3603,3662,3756,3780,3830,3913,3928,4003,4051,4020,4038,4034,4005,4060,4084,4122,4161,4166,4181,4191,4226,4259,4289,4357,4394,4397,4422,4433,4449,4511,4604,4614,4680,4715,4689,4745,4769,4752,4787,4826,4885,4980,5086,5148,5284,5305,5444,5508,5564,5533,5584,5572,5525,5526,5597,5608,5681,5811,5754,5927,5972,6088,6156,6220,6379,6414,6494,6702,6799,6861,6960,7062,6977,7083,7190,7244,7372,7423,7581,7649,7091,6908,6973,7131,7211,7268,7261,7296,7465,7647,7795,7796,7817,7937,7898,7904,7953,8042,7937,8007,8061,8116,8218,8259,8208,8046,8136,8194,8102,8050,8169,8167,8227,8360,8376,8445,8608,8691,8759,8796,8846,8828,8973,9013,9045,9160,8616,9343,9333,9864,10290,10479,10741,10997,11329,11381
9,        Services,423,430,437,443,448,458,465,469,470,471,470,472,478,490,503,511,532,538,545,552,561,571,583,593,602,612,621,619,626,635,644,652,661,665,672,686,694,702,712,722,728,735,743,753,755,766,776,782,794,809,824,837,844,853,853,862,870,883,886,902,912,927,935,946,952,962,978,993,1010,1026,1041,1056,1070,1088,1105,1127,1143,1163,1179,1200,1217,1234,1257,1276,1310,1343,1372,1400,1427,1461,1488,1523,1556,1583,1615,1641,1670,1704,1739,1777,1823,1856,1894,1941,1978,2021,2065,2106,2141,2209,2266,2334,2404,2467,2517,2597,2665,2712,2786,2866,2952,3014,3096,3167,3269,3376,3453,3532,3610,3718,3809,3921,4014,4076,4218,4392,4476,4588,4677,4772,4874,4966,5092,5254,5389,5499,5665,5769,5858,5982,6114,6218,6419,6532,6689,6777,6891,6976,7057,7173,7304,7430,7552,7690,7875,8030,8236,8384,8526,8634,8750,8900,9032,9227,9378,9417,9465,9602,9704,9818,10042,10168,10311,10490,10587,10716,10886,10987,11117,11240,11346,11455,11584,11760,11882,11992,12141,12273,12396,12527,12685,12833,13018,13195,13373,13578,13765,13871,14013,14192,14384,14641,14949,15159,15387,15608,15822,15911,15950,16100,16226,16417,16575,16764,16953,17170,17372,17570,17813,18022,18297,18564,18816,19093,19337,19593,19827,20112,20323,20554,20838,21000,21248,21494,21740,21983,22076,22027,21862,21739,21819,21953,22129,22350,22524,22623,22767,22948,23119,23137,23360,23503,23577,23731,23827,23969,24099,24396,24568,24815,25120,25428,25582,25789,26013,26187,26447,26684,26931,27158,27461,27627,27812,28145,28569,28932,29224,29454,29598,29864,30157,30426,29885,26246,28603,29155,29722,30973,31990,32606,33153,33963,34672
